test,country,hyd_share,beta,se,p,r2,pair,n_obs,n_countries,spillover_F,spillover_p,own_F,own_p,coef_A_lag1,coef_A_lag2,p_A_lag1,p_A_lag2,interpretation
crosslink_1,Australia,0.20623348528880922,5.6434649186113734,1.4184698016890682,0.001211011975478764,0.697740414745327,,18,,,,,,,,,,
crosslink_1,Austria,0.250449409146802,-1.0000614461538408,0.560790946325281,0.0947789093172591,0.17863447113340303,,18,,,,,,,,,,
crosslink_1,Belgium,0.05816886141158041,2.8146607258525687,0.6791069753270481,0.0019969749156082636,0.8880928166927475,,13,,,,,,,,,,
crosslink_1,Canada,0.08772521051190907,1.5571176618954097,0.48978776276726643,0.006223657771419742,0.4556067015511005,,18,,,,,,,,,,
crosslink_1,Czech Republic,0.09481550051789465,0.7789318298828295,1.2632263316608827,0.5467302054477416,0.26469118784854295,,18,,,,,,,,,,
crosslink_1,Denmark,0.21145333967222493,-0.09133293494350031,0.3441324324846005,0.79431370983582,0.3638567903243657,,18,,,,,,,,,,
crosslink_1,Estonia,0.21850710271295634,-3.239767647639492,4.173488937481254,0.46300517723899326,0.09516014840212383,,10,,,,,,,,,,
crosslink_1,Finland,0.033483127256166804,10.3996202260407,4.950182825762664,0.05424718627161592,0.3519300218223481,,17,,,,,,,,,,
crosslink_1,France,0.07604216774542595,2.135220220146439,0.5376064843917411,0.000985817427387408,0.551388573444827,,20,,,,,,,,,,
crosslink_1,Germany,0.12860665278065764,1.8952876167674946,0.4542692722050509,0.0008176219850499806,0.7793679885331862,,18,,,,,,,,,,
crosslink_1,Hungary,0.2923027625978594,-1.5916413951740704,0.8821370690517547,0.09273513471381509,0.385098604399122,,17,,,,,,,,,,
crosslink_1,Ireland,0.04163808802496617,6.911640190104455,3.2780206128720613,0.05221496125262386,0.22890897419674827,,18,,,,,,,,,,
crosslink_1,Italy,0.09999243568852985,-0.4607253092152445,0.6662641854636646,0.5005552301853113,0.2429151634199166,,17,,,,,,,,,,
crosslink_1,Japan,0.09514622749267757,-0.30665245842603955,0.3845210042446133,0.43760820483005336,0.10741197594431717,,18,,,,,,,,,,
crosslink_1,Korea,0.16713013019697906,-0.44962265119486977,0.879583145068484,0.6166684864745346,0.7331870940796609,,18,,,,,,,,,,
crosslink_1,Netherlands,0.113281809347203,-0.4038523658019281,0.3641054008794266,0.28604977424629113,0.29533041312325425,,17,,,,,,,,,,
crosslink_1,New Zealand,0.07221345658419616,6.845581037503381,3.345193939608629,0.059975353027602187,0.42920708766682636,,17,,,,,,,,,,
crosslink_1,Norway,0.10859085069893168,-0.373879630071685,0.1076126777406855,0.0033980362666871486,0.4555934687046892,,18,,,,,,,,,,
crosslink_1,Poland,0.1020876273792136,3.0279680952645296,3.561644705478189,0.4133582451510954,0.08315950035578967,,14,,,,,,,,,,
crosslink_1,Portugal,0.3014549940026617,2.397023254296218,5.856281101078441,0.6895248689579903,0.27939290439176456,,15,,,,,,,,,,
crosslink_1,Republic of Türkiye,0.15227464677937544,-4.52801967952627,3.1911120148529357,0.18362274532620146,0.7771030314557134,,14,,,,,,,,,,
crosslink_1,Slovak Republic,0.04132035241702335,1.5975852068585197,3.145930394151226,0.622587909667446,0.026335731913367022,,13,,,,,,,,,,
crosslink_1,Spain,0.1644013919988734,0.9600846952888042,0.13024756657921513,2.3244507648116664e-06,0.9069860416443778,,18,,,,,,,,,,
crosslink_1,Sweden,0.07443206034240424,-2.3505941579443497,8.764870931949345,0.7924691090338252,0.18585230751625936,,17,,,,,,,,,,
crosslink_1,Switzerland,0.14948099501932316,-0.2968095324984914,2.456850896026913,0.9054457920674346,0.0014927159991948713,,18,,,,,,,,,,
crosslink_1,United Kingdom,0.075603197045643,9.343754474557192,2.71614769924096,0.0036453292052792295,0.5530567905477766,,18,,,,,,,,,,
crosslink_1,United States,0.08173923794179293,0.05588470913306768,0.17910586908478732,0.7641136313753158,0.014605316409299185,,10,,,,,,,,,,
crosslink_1_summary,—,,,,0.032075596957681814,0.17091284502253912,overall_correlation,27,,,,,,,,,,r=-0.413
crosslink_2,,,,,,,Nuclear → Hydrogen & fuel cells,449,32.0,0.0726086797439259,0.9299765413080449,43.15292531791448,1.526264090433633e-10,0.013645499715657525,0.012430377600822067,0.7415320955698356,0.7494012691950722,no spillover
crosslink_2,,,,,,,Solar → Wind,742,31.0,1.3538938879227942,0.2589014469545032,0.7969138586775663,0.3723214216562889,0.10608962077017328,-0.02488810086588583,0.10068086559708354,0.6917988661238219,no spillover
crosslink_2,,,,,,,CO2 capture & storage → Biofuels,513,29.0,5.268252748777349,0.005454777889836318,14.048421509826422,0.0001998616593044739,-0.15700658185797645,-0.04969798206907661,0.004707418706667233,0.15900233534402455,spillover detected
crosslink_2,,,,,,,Hydrogen & fuel cells → CO2 capture & storage,377,30.0,20.85500427899935,2.8349728941762224e-09,36.50007288592837,3.9757885838631405e-09,0.5683478767828671,0.23334295304551325,1.8069248632517373e-07,0.050483990072373426,spillover detected
