technology,n_obs_A,n_countries_A,direction_A_F_stat,direction_A_p_value,R2_A,n_obs_B,n_countries_B,direction_B_F_stat,direction_B_p_value,R2_B,interpretation
Biofuels,711,31,9.293054313800594,4.996689605499747e-06,0.30501852718994527,711,31,16.44570627846156,2.521930066139811e-10,0.17063094723881644,bidirectional
CO2 capture & storage,579,30,20.39124752094182,1.548671640703757e-12,0.40632055813925594,579,30,5.149099959895766,0.001617769008108488,0.25430565015254036,bidirectional
Geothermal,684,29,0.247248428972349,0.8633090436732666,0.042243862562018175,684,29,2.4371988230030825,0.06359028304367073,0.09428809552550255,no Granger causality
Hydro,755,31,1.0940848084848558,0.35084717038869107,0.0735021490442852,755,31,1.4727015892617963,0.22067617011245952,0.12532237908116506,no Granger causality
Hydrogen & fuel cells,411,30,21.41311573056424,7.913413542820059e-13,0.43724078693280444,411,30,9.23201227667016,6.6067829846970235e-06,0.13266309551902955,bidirectional
Nuclear,940,31,3.363241962903677,0.01823390685798695,0.07706146148098836,940,31,2.364369122728464,0.0697197648595506,0.03893977033402418,spending → pubs
Ocean,723,30,3.0177628187564784,0.029279700893839345,0.0870163587765943,723,30,0.6191097611971187,0.6027875127457353,0.009263015876290415,spending → pubs
Solar,929,31,1.3980497832385723,0.24199886373089233,0.17424989049731154,929,31,7.325808037715945,7.44596011014468e-05,0.045829201420072185,pubs → spending
Wind,797,31,2.84830267656114,0.036684696081206135,0.2026463197933649,797,31,2.318340826989292,0.0742280498691775,0.14555272758074456,spending → pubs
