country,technology,year,spending_usd_ppp_millions
Spain,Biofuels,1990,17.706
Spain,Biofuels,1991,13.938
Spain,Biofuels,1992,16.86
Spain,Biofuels,1993,18.922
Spain,Biofuels,1994,9.505
Spain,Biofuels,1995,7.643
Spain,Biofuels,1996,7.637
Spain,Biofuels,1997,9.001
Spain,Biofuels,1998,15.695
Spain,Biofuels,1999,5.564
Spain,Biofuels,2000,10.468
Spain,Biofuels,2001,11.614
Spain,Biofuels,2002,8.168
Spain,Biofuels,2003,10.168
Spain,Biofuels,2004,8.704
Spain,Biofuels,2005,8.91
Spain,Biofuels,2006,11.983
Spain,Biofuels,2007,12.421
Spain,Biofuels,2008,12.604
Spain,Biofuels,2009,71.003
Spain,Biofuels,2010,53.627
Spain,Biofuels,2011,59.129
Spain,Biofuels,2012,36.32
Spain,Biofuels,2013,17.977
Spain,Biofuels,2014,20.815
Spain,Biofuels,2015,20.733
Spain,Biofuels,2016,9.061
Spain,Biofuels,2017,6.172
Spain,Biofuels,2018,7.152
Spain,Biofuels,2019,10.467
Spain,Biofuels,2020,13.576
Spain,Biofuels,2021,30.843
Spain,Biofuels,2022,289.259
Spain,Biofuels,2023,15.015
Spain,CO2 capture & storage,1974,0.0
Spain,CO2 capture & storage,1975,0.0
Spain,CO2 capture & storage,1976,0.0
Spain,CO2 capture & storage,1977,0.0
Spain,CO2 capture & storage,1978,0.0
Spain,CO2 capture & storage,1979,0.0
Spain,CO2 capture & storage,1980,0.0
Spain,CO2 capture & storage,1982,0.0
Spain,CO2 capture & storage,1983,0.0
Spain,CO2 capture & storage,1984,0.0
Spain,CO2 capture & storage,1985,0.0
Spain,CO2 capture & storage,1986,0.0
Spain,CO2 capture & storage,1987,0.0
